author,image,name,price
Lumi Yan KRop,"https://images-na.ssl-images-amazon.com/images/I/61b64iXM9qL._AC_UL302_SR302,200_.jpg",Minecraft: POOL Build HACKS: So Much FUN ideals,$4.69
Jamie Susskind,"https://images-na.ssl-images-amazon.com/images/I/71D5ywitNAL._AC_UL302_SR302,200_.jpg",The Digital Republic: On Freedom and Democracy in the 21st Century,$18.99
Clark Vanderbilt,"https://images-na.ssl-images-amazon.com/images/I/81TIhaTv-FL._AC_UL302_SR302,200_.jpg","Inflation Investing: The Economics and History of Wealth Protection: Inflation Hedge Strategies of Real Estate, Gold, Bitcoin and More for Hyperinflation",$17.46
Condin Eimay,"https://images-na.ssl-images-amazon.com/images/I/613lPpP1jrL._AC_UL302_SR302,200_.jpg","MINECRAFT: The Most MODERN HOUSE: AUTO-FEEDER, AUTO-SORTER, SECRET ZOOM, REDSTONE",$4.12
Michael Jang,"https://images-na.ssl-images-amazon.com/images/I/61AGXRajOsL._AC_UL302_SR302,200_.jpg","RHCSA/RHCE Red Hat Enterprise Linux 8 Certification Study Guide, Eighth Edition (Exams EX200 & EX294) (RHCSA/RHCE Red Hat Enterprise Linux Certification Study Guide)",$60.00
AL Traversky,"https://images-na.ssl-images-amazon.com/images/I/61pjFaEd9+L._AC_UL302_SR302,200_.jpg",Virtual Deviation 5: Mission Mainland - Gamelit LitRPG Apocalypse Harem Fantasy,$2.99
Ray Kurzweil,"https://images-na.ssl-images-amazon.com/images/I/71WqWisSLdL._AC_UL302_SR302,200_.jpg",How to Create a Mind: The Secret of Human Thought Revealed,$24.50
Mobas F.Rays,"https://images-na.ssl-images-amazon.com/images/I/51EAzpZ7bkL._AC_UL302_SR302,200_.jpg",MINECRAFT: 5 Easy Ways DEFEND Your Base,$4.01
QuHarrison Terry,"https://images-na.ssl-images-amazon.com/images/I/916KCHpdkPL._AC_UL302_SR302,200_.jpg",The Metaverse Handbook: Innovating for the Internet's Next Tectonic Shift,$18.19
Elizabeth Clarke,"https://images-na.ssl-images-amazon.com/images/I/711utOQ5-fL._AC_UL302_SR302,200_.jpg","Everything Data Analytics-A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (Guides for Data Analytics, Data Visualization, and Communicating Data)",$0.99
